Python MLSA,Commit ID,IsML,Bug Fix Type,Has TD,TD Name,,,,
TensorPack,13e0ec397338985dfba03f0d759316cb5e3c680a,1,Fix data processing ,1,Data preprocessing,,,,
TensorPack,34357e7774bb0e128ff5043b7ae2398b5a3976bc,0,,0,,,,,
TensorPack,2a1af832ba1582b41377a4ce9694c61e39707218,1,Fix functions,1,Hyper parameter tuning,,,,
TensorPack,d6db7efa268201081600078577ad8ae1e02c386d,0,,0,,,,,
TensorPack,1097672bb351ab20c527c5b94aedb5c10f8c4f97,1,Fix conditionals,1,Configuration debt,,,,
TensorPack,118aae663c7d1749e0a8bcbf039947900762867c,0,,0,,,,,
TensorPack,c8028236d8e061eb23da98770761370acfe76bce,0,,0,,,,,
TensorPack,52d2677fa7adc34b2a7b64bd1d2cc60f2a654ad7,0,,0,,,,,
TensorPack,ba96595418913b1de650b16b6541847f200c1763,1,Fix DataType,1,Data type inconsistency,,,,
TensorPack,b2ac1dae529f0c3a9c6f3c4601bd1aee0bbbd507,1,Fix Model setup,1,Configuration debt,,,,
TensorPack,93d4efb57a7e5818f5fe69beacaa3b2a26495f15,1,Fix library issue,1,Version Incompatibility,,,,
TensorPack,ac09ed5608ee8c8674bed3a3cbb2559216e7159c,0,,0,,,,,
TensorPack,9c5b3ee1ee887ff970f3387a51121ec87da55609,0,,0,,,,,
TensorPack,162f2db0f7d80648fcc88abd38954123b0a79cac,1,Fix exception,1,Model code comprehension,,,,
TensorPack,05f7ba8fff4b62f5d412167c8b029ea41364f8a9,1,Fix value update,1,Configuration debt,,,,
DeepChem,a188e6f8c5c15ae35279c312c8044516ac8261f3,1,Fix calculation,1,Validation calculation,,,,
DeepChem,31b835fe4e93e7865f111c4bf84782707eb1824d,0,,0,,,,,
DeepChem,e83ad2981ff170411795882ecde5d67d66e4731a,0,,0,,,,,
DeepChem,5d4557299b70af24c2800e098f0457bc8da70701,1,Fix conditionals,1,Parameter estimation,,,,
DeepChem,9511d2edf2179468f34e25492fd12ce87a802d55,1,Fix exception,1,Hyper parameter tuning,,,,
DeepChem,035cf28fe5e8cef968bb7530cfdbdd08d6931125,1,Fix Model setup,1,Validation calculation,,,,
DeepChem,3a8e6babfc426b93ed32094fc0ce4283b851b914,1,Fix exception,1,Unstable Code,,,,
DeepChem,1fadab6e7ddac983f8db840ba4919ad15e53a95e,1,Fix Model setup,1,Validation calculation,,,,
DeepChem,b731912a7ebaa772e498a9906b629aa22bbcfd6c,1,Fix Model setup,1,Data preprocessing,,,,
DeepChem,9ddec96f0c52a80599b7fea0add24c91b7e31055,0,,0,,,,,
DeepChem,cc110392a0fda0768b7d3eb56e6b234ebf115fee,0,,0,,,,,
DeepChem,1aaa7180ed9ebe6bda01140ffc8f3ee54d6b6889,1,Fix Model setup,1,Configuration debt,,,,
DeepChem,016bdfeb50db13a657d1839b55a4824d3e5c993e,0,,0,,,,,
DeepChem,6ceecc9b638ca4f8a18d36a5c1e5cdf4ab8f9f9d,1,Fix value update,0,,,,,
DeepChem,0d2a7d50606ced44af1514b11120ecbe057c8d69,1,Fix exception,1,Model code comprehension,,,,
DeepChem,d064e857c93fa83db0a0c7968129a94faf1bee40,1,Fix calculation,1,Configuration debt,,,,
DeepChem,c4ef2415aee7e965f3122332dbcd33cca7f40a7f,1,Fix Model setup,1,Validation calculation,,,,
DeepChem,3ae09ba59a666fb69ce23bc9f2e4abb9c966f535,0,,0,,,,,
DeepChem,0e6e5070842b12132a58c00d336938ec4328b76f,1,Fix Model setup,1,Validation calculation,,,,
DeepChem,3162ce7830e6fc206e56e60dd8e4c86b4b092336,0,,0,,,,,
DeepChem,174907b648d9d244f412a36cabb6edc35f14fde3,0,,0,,,,,
DeepChem,b245c5964a3f51ea7ae168cbe86a99af0e931e74,1,Fix calculation,1,Validation calculation,,,,
DeepChem,e17ce1a9cbc6df0046cbd745bd896783a3a66439,1,Fix functions,0,,,,,
DeepChem,87e68078d89bd718f81573dc10608fa3ccb06149,1,Fix value update,1,Validation calculation,,,,
DeepChem,80ae734f68bc0e4aa2262069478ee4025467e59b,1,Fix initialization,1,Configuration debt,,,,
DeepChem,545b3701843feb4e2c7c9edc6689201a7750515e,1,Fix estimation,1,Validation calculation,,,,
DeepChem,c80bd43eb04aedf868ea03c5ebebd47e49c81624,1,Fix default value,1,Validation calculation,,,,
DeepChem,8a1ad36ddc77d956106aefe882b6fa04013bfcca,1,Fix calculation,1,Hyper parameter tuning,,,,
DeepChem,dfdcc2702d62b9e5b497591a5698d69bdb5b6e7d,1,Fix exception,1,Unstable Code,,,,
DeepChem,c547856ffbf8b54a0b265686c4c4d6ca8909f382,0,,0,,,,,
DeepChem,03b0c2a35544075643030313bbcde091b4fec3b5,1,Fix Model setup,1,Hyper parameter tuning,,,,
DeepChem,d03f1e229094ae246322d547d3663653b47464c5,1,Fix Model setup,1,Hyper parameter tuning,,,,
DeepChem,9b245369c6f2cac39bb6f9457474824cac18c9b0,1,Fix exception,1,Model code comprehension,,,,
DeepChem,1664886d23ec1bf50869c748babbd066a2f42f7e,0,,0,,,,,
DeepChem,df7a0ca3880be1e62d38d26ada9898ed2d9f4ba1,1,Fix value update,1,Configuration debt,,,,
DeepChem,75d6a01882558496a82175e0885bf40828e409a1,1,Fix value update,1,Validation calculation,,,,
DeepChem,745059ec538bf5be2d10d5cd9cd83a07fc8c2173,1,Fix exception,1,Model code comprehension,,,,
DeepChem,7d5b127937e06ddd24dddba143df7abdc326c50e,1,Fix exception,1,Unstable Code,,,,
DeepChem,3b8bc043e3a3a6c3a93a3524bc6f3a47cd535426,1,Fix Model setup,1,Configuration debt,,,,
DeepChem,50f06e907a293714e4d704de69a7f74eff887099,1,Fix calculation,0,,,,,
DeepChem,7442ccebd9704aca4b0993cc2d25f9e3b4b6420f,1,Fix Model setup,1,Hyper parameter tuning,,,,
Allennlp,35b285585e0677b1025eac1c19b5eefe7e2a70db,1,Fix DataType,1,Data type inconsistency,,,,
Allennlp,19d106e7d0a0b8a5111294d66743515f7f9c0626,0,,0,,,,,
Allennlp,e903018915ee94f50988ee43f8825ba6127cd4ce,0,,0,,,,,
Allennlp,b89ff098372656b674ec71457dda071222fd05ae,1,Fix default value,0,,,,,
Allennlp,2bf0779f5bca2dba1dc8e11376033739f3dcdf52,0,,0,,,,,
Allennlp,2f1f9349e0bd8aba5ef3387b739d95389accae78,1,Fix Model setup,0,,,,,
Allennlp,32defc3b60e97ae171d779482cc4023fecd01bfa,1,Fix initialization,1,Configuration debt,,,,
Allennlp,7bc7d2b006e45ab028bb507bbb9d5e1ae07fcfd0,0,,0,,,,,
Allennlp,7072e4a14217010f0532389c4e9617edc7bac1a2,0,,0,,,,,
Allennlp,ac72c88838a3ba2663d76f6bead3c2f318508d32,1,Fix conditionals,1,Configuration debt,,,,
Allennlp,965188fbb175ca6a0c8b26a448edc65c6a8c26aa,1,Fix Model setup,1,Hyper parameter tuning,,,,
Allennlp,fb14fa7cec62f9f1224a4c6344a246250308c9c5,1,Fix calculation,1,Configuration debt,,,,
